BookID,PatronID,Title,FirstName,LastName,Email,LoanDate,DueDate
165,49,"The Turn of the Screw","Cathryn","Beau","cbeau1c@wisdompets.com",2016-06-01,2016-06-15
123,100,"The Mysterious Affair at Styles","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-06-01,2016-06-15
94,79,"Walden, and On The Duty Of Civil Disobedience","Winslow","Klass","wklass26@kinetecoinc.com",2016-06-02,2016-06-16
25,97,"The Life and Adventures of Robinson Crusoe","Herb","McParland","hmcparland2o@rouxacademy.org",2016-06-03,2016-06-17
104,27,"On the origin of species","Yves","Dell'Abbate","ydellabbateq@rouxacademy.org",2016-06-03,2016-06-17
74,34,"The Strange Case of Dr. Jekyll and Mr. Hyde","Carlin","Casterou","ccasteroux@landonhotel.com",2016-06-04,2016-06-18
79,37,"A Study in Scarlet","Jillane","Livingstone","jlivingstone10@wisdompets.com",2016-06-05,2016-06-19
3,4,"The Adventures of Sherlock Holmes","Taylor","Jenkins","tjenkins@rouxacademy.org",2016-06-05,2016-06-19
133,56,"Treasure Island","Hagen","Itzhayek","hitzhayek1j@landonhotel.com",2016-06-05,2016-06-19
64,36,"A Study in Scarlet","Allyson","Jira","ajiraz@wisdompets.com",2016-06-06,2016-06-20
161,83,"The Prince","Caril","Matejic","cmatejic2a@orangevalleycaa.org",2016-06-06,2016-06-20
4,14,"The Adventures of Tom Sawyer","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-06-07,2016-06-21
11,90,"The Picture of Dorian Gray","Elmo","Ockland","eockland2h@landonhotel.com",2016-06-07,2016-06-21
51,9,"Dubliners","Carilyn","Calver","ccalver8@samoca.org",2016-06-08,2016-06-22
196,31,"The Awakening, and Selected Short Stories","Osgood","Saunter","osaunteru@red30design.com",2016-06-09,2016-06-23
11,57,"The Picture of Dorian Gray","Kahaleel","Keaton","kkeaton1k@kinetecoinc.com",2016-06-09,2016-06-23
93,59,"Great Expectations","Cornelia","Koppe","ckoppe1m@landonhotel.com",2016-06-10,2016-06-24
99,91,"Little Women","Iver","Palke","ipalke2i@rouxacademy.org",2016-06-12,2016-06-26
200,5,"A Doll's House","Imogen","Kabsch","ikabsch@landonhotel.com",2016-06-12,2016-06-26
122,36,"Metamorphosis","Allyson","Jira","ajiraz@wisdompets.com",2016-06-13,2016-06-27
25,29,"The Life and Adventures of Robinson Crusoe","Herby","Aspinal","haspinals@red30design.com",2016-06-13,2016-06-27
99,6,"Little Women","Don","Weingarten","dweingarten@kinetecoinc.com",2016-06-14,2016-06-28
111,14,"The Decameron of Giovanni Boccaccio","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-06-14,2016-06-28
61,42,"The Call of the Wild","Cleo","Goldwater","cgoldwater15@landonhotel.com",2016-06-15,2016-06-29
87,34,"Frankenstein; Or, The Modern Prometheus","Carlin","Casterou","ccasteroux@landonhotel.com",2016-06-15,2016-06-29
176,76,"The Jungle","Dyanna","Fulger","dfulger23@red30design.com",2016-06-15,2016-06-29
11,98,"The Picture of Dorian Gray","Clem","Durdy","cdurdy2p@hplussport.com",2016-06-16,2016-06-30
41,46,"The Scarlet Letter","Serge","Pethrick","spethrick19@rouxacademy.org",2016-06-17,2016-07-01
45,43,"The Secret Garden","Menard","Pitone","mpitone16@red30design.com",2016-06-18,2016-07-02
67,60,"Les Misérables","Olympia","Sansun","osansun1n@wisdompets.com",2016-06-19,2016-07-03
100,22,"The Jungle Book","Cassandre","Wragg","cwraggl@landonhotel.com",2016-06-20,2016-07-04
160,11,"The War of the Worlds","Faina","Nelles","fnellesa@red30design.com",2016-06-23,2016-07-07
33,44,"Peter Pan","Davy","Neely","dneely17@hplussport.com",2016-06-23,2016-07-07
89,9,"Walden, and On The Duty Of Civil Disobedience","Carilyn","Calver","ccalver8@samoca.org",2016-06-25,2016-07-09
35,49,"The Brothers Karamazov","Cathryn","Beau","cbeau1c@wisdompets.com",2016-06-25,2016-07-09
43,40,"The Yellow Wallpaper","Angelique","Farnham","afarnham13@wisdompets.com",2016-06-25,2016-07-09
83,29,"Emma","Herby","Aspinal","haspinals@red30design.com",2016-06-26,2016-07-10
173,1,"Wuthering Heights","Maggi","Domney","mdomney0@wisdompets.com",2016-06-26,2016-07-10
63,65,"Treasure Island","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-06-27,2016-07-11
147,49,"The Adventures of Tom Sawyer","Cathryn","Beau","cbeau1c@wisdompets.com",2016-06-29,2016-07-13
148,14,"War and Peace","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-06-29,2016-07-13
169,72,"Second Treatise of Government","Trip","Pond","tpond1z@wisdompets.com",2016-06-30,2016-07-14
173,93,"Wuthering Heights","Joel","Baignard","jbaignard2k@orangevalleycaa.org",2016-07-01,2016-07-15
190,41,"Adventures of Huckleberry Finn","Lowrance","Gratton","lgratton14@hplussport.com",2016-07-01,2016-07-15
142,56,"The Decameron of Giovanni Boccaccio","Hagen","Itzhayek","hitzhayek1j@landonhotel.com",2016-07-01,2016-07-15
189,79,"The Jungle Book","Winslow","Klass","wklass26@kinetecoinc.com",2016-07-02,2016-07-16
108,67,"Pascal's Pensées","Whitney","Lamberts","wlamberts1u@red30design.com",2016-07-03,2016-07-17
4,72,"The Adventures of Tom Sawyer","Trip","Pond","tpond1z@wisdompets.com",2016-07-03,2016-07-17
120,66,"Dubliners","Gilbert","Dupoy","gdupoy1t@rouxacademy.org",2016-07-04,2016-07-18
99,99,"Little Women","Kala","Simonian","ksimonian2q@landonhotel.com",2016-07-04,2016-07-18
166,33,"The Strange Case of Dr. Jekyll and Mr. Hyde","Eloisa","Forster","eforsterw@wisdompets.com",2016-07-06,2016-07-20
126,95,"The Awakening, and Selected Short Stories","Lelah","Seathwright","lseathwright2m@samoca.org",2016-07-06,2016-07-20
112,35,"The War of the Worlds","Luciano","Winton","lwintony@hplussport.com",2016-07-07,2016-07-21
97,68,"The Life and Adventures of Robinson Crusoe","Anastasie","Ferguson","aferguson1v@landonhotel.com",2016-07-09,2016-07-23
10,62,"The Count of Monte Cristo","Tybie","Balme","tbalme1p@orangevalleycaa.org",2016-07-09,2016-07-23
64,61,"A Study in Scarlet","Rubia","Fitzsymon","rfitzsymon1o@red30design.com",2016-07-09,2016-07-23
152,17,"Anne of Green Gables","Lani","Over","loverg@wisdompets.com",2016-07-09,2016-07-23
200,18,"A Doll's House","Anthe","Dinjes","adinjesh@samoca.org",2016-07-09,2016-07-23
164,53,"The Hound of the Baskervilles","Perceval","Redpath","predpath1g@rouxacademy.org",2016-07-10,2016-07-24
157,45,"Les Misérables","Zechariah","Deniske","zdeniske18@kinetecoinc.com",2016-07-12,2016-07-26
108,33,"Pascal's Pensées","Eloisa","Forster","eforsterw@wisdompets.com",2016-07-13,2016-07-27
181,82,"Sense and Sensibility","Jacquette","Spillard","jspillard29@red30design.com",2016-07-14,2016-07-28
168,95,"Pascal's Pensées","Lelah","Seathwright","lseathwright2m@samoca.org",2016-07-14,2016-07-28
86,54,"Siddhartha","Ive","Iles","iiles1h@samoca.org",2016-07-18,2016-08-01
21,67,"The Prince","Whitney","Lamberts","wlamberts1u@red30design.com",2016-07-18,2016-08-01
166,11,"The Strange Case of Dr. Jekyll and Mr. Hyde","Faina","Nelles","fnellesa@red30design.com",2016-07-18,2016-08-01
119,100,"The Tale of Peter Rabbit","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-07-19,2016-08-02
188,100,"Tractatus Logico-Philosophicus","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-07-20,2016-08-03
21,83,"The Prince","Caril","Matejic","cmatejic2a@orangevalleycaa.org",2016-07-21,2016-08-04
4,79,"The Adventures of Tom Sawyer","Winslow","Klass","wklass26@kinetecoinc.com",2016-07-21,2016-08-04
45,7,"The Secret Garden","Cammi","Kynett","ckynett6@orangevalleycaa.org",2016-07-21,2016-08-04
137,98,"Alice's Adventures in Wonderland","Clem","Durdy","cdurdy2p@hplussport.com",2016-07-25,2016-08-08
