PatronID,LoanCount,FirstName,LastName,Email
83,9,"Caril","Matejic","cmatejic2a@orangevalleycaa.org"
69,9,"Alaster","Ruggles","aruggles1w@red30design.com"
73,11,"Merle","Sukbhans","msukbhans20@orangevalleycaa.org"
64,12,"Norby","Sleight","nsleight1r@kinetecoinc.com"
94,12,"Curr","Fittall","cfittall2l@orangevalleycaa.org"
50,13,"Jack","Vaan","jvaan@wisdompets.com"
7,14,"Cammi","Kynett","ckynett6@orangevalleycaa.org"
12,14,"Orton","Stavers","ostaversb@orangevalleycaa.org"
16,14,"Carla","Swinfen","cswinfenf@kinetecoinc.com"
3,14,"Aleen","Fasey","afasey2@kinetecoinc.com"
