BookID,Title,FirstName,LastName,Email,ReturnedDate
165,"The Turn of the Screw","Cathryn","Beau","cbeau1c@wisdompets.com",2016-06-15
123,"The Mysterious Affair at Styles","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-06-15
94,"Walden, and On The Duty Of Civil Disobedience","Winslow","Klass","wklass26@kinetecoinc.com",2016-06-16
25,"The Life and Adventures of Robinson Crusoe","Herb","McParland","hmcparland2o@rouxacademy.org",2016-06-17
104,"On the origin of species","Yves","Dell'Abbate","ydellabbateq@rouxacademy.org",2016-06-17
74,"The Strange Case of Dr. Jekyll and Mr. Hyde","Carlin","Casterou","ccasteroux@landonhotel.com",2016-06-18
79,"A Study in Scarlet","Jillane","Livingstone","jlivingstone10@wisdompets.com",2016-06-19
3,"The Adventures of Sherlock Holmes","Taylor","Jenkins","tjenkins@rouxacademy.org",2016-06-19
133,"Treasure Island","Hagen","Itzhayek","hitzhayek1j@landonhotel.com",2016-06-19
64,"A Study in Scarlet","Allyson","Jira","ajiraz@wisdompets.com",2016-06-20
161,"The Prince","Caril","Matejic","cmatejic2a@orangevalleycaa.org",2016-06-20
4,"The Adventures of Tom Sawyer","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-06-21
11,"The Picture of Dorian Gray","Elmo","Ockland","eockland2h@landonhotel.com",2016-06-21
51,"Dubliners","Carilyn","Calver","ccalver8@samoca.org",2016-06-22
196,"The Awakening, and Selected Short Stories","Osgood","Saunter","osaunteru@red30design.com",2016-06-23
11,"The Picture of Dorian Gray","Kahaleel","Keaton","kkeaton1k@kinetecoinc.com",2016-06-23
93,"Great Expectations","Cornelia","Koppe","ckoppe1m@landonhotel.com",2016-06-24
99,"Little Women","Iver","Palke","ipalke2i@rouxacademy.org",2016-06-26
200,"A Doll's House","Imogen","Kabsch","ikabsch@landonhotel.com",2016-06-26
122,"Metamorphosis","Allyson","Jira","ajiraz@wisdompets.com",2016-06-27
25,"The Life and Adventures of Robinson Crusoe","Herby","Aspinal","haspinals@red30design.com",2016-06-27
99,"Little Women","Don","Weingarten","dweingarten@kinetecoinc.com",2016-06-28
111,"The Decameron of Giovanni Boccaccio","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-06-28
61,"The Call of the Wild","Cleo","Goldwater","cgoldwater15@landonhotel.com",2016-06-29
87,"Frankenstein; Or, The Modern Prometheus","Carlin","Casterou","ccasteroux@landonhotel.com",2016-06-29
176,"The Jungle","Dyanna","Fulger","dfulger23@red30design.com",2016-06-29
11,"The Picture of Dorian Gray","Clem","Durdy","cdurdy2p@hplussport.com",2016-06-30
41,"The Scarlet Letter","Serge","Pethrick","spethrick19@rouxacademy.org",2016-07-01
45,"The Secret Garden","Menard","Pitone","mpitone16@red30design.com",2016-07-02
67,"Les Misérables","Olympia","Sansun","osansun1n@wisdompets.com",2016-07-03
100,"The Jungle Book","Cassandre","Wragg","cwraggl@landonhotel.com",2016-07-04
160,"The War of the Worlds","Faina","Nelles","fnellesa@red30design.com",2016-07-07
33,"Peter Pan","Davy","Neely","dneely17@hplussport.com",2016-07-07
89,"Walden, and On The Duty Of Civil Disobedience","Carilyn","Calver","ccalver8@samoca.org",2016-07-09
35,"The Brothers Karamazov","Cathryn","Beau","cbeau1c@wisdompets.com",2016-07-09
43,"The Yellow Wallpaper","Angelique","Farnham","afarnham13@wisdompets.com",2016-07-09
83,"Emma","Herby","Aspinal","haspinals@red30design.com",2016-07-10
173,"Wuthering Heights","Maggi","Domney","mdomney0@wisdompets.com",2016-07-10
63,"Treasure Island","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-07-11
147,"The Adventures of Tom Sawyer","Cathryn","Beau","cbeau1c@wisdompets.com",2016-07-13
148,"War and Peace","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-07-13
169,"Second Treatise of Government","Trip","Pond","tpond1z@wisdompets.com",2016-07-14
173,"Wuthering Heights","Joel","Baignard","jbaignard2k@orangevalleycaa.org",2016-07-15
190,"Adventures of Huckleberry Finn","Lowrance","Gratton","lgratton14@hplussport.com",2016-07-15
142,"The Decameron of Giovanni Boccaccio","Hagen","Itzhayek","hitzhayek1j@landonhotel.com",2016-07-15
189,"The Jungle Book","Winslow","Klass","wklass26@kinetecoinc.com",2016-07-16
108,"Pascal's Pensées","Whitney","Lamberts","wlamberts1u@red30design.com",2016-07-17
4,"The Adventures of Tom Sawyer","Trip","Pond","tpond1z@wisdompets.com",2016-07-17
120,"Dubliners","Gilbert","Dupoy","gdupoy1t@rouxacademy.org",2016-07-18
99,"Little Women","Kala","Simonian","ksimonian2q@landonhotel.com",2016-07-18
166,"The Strange Case of Dr. Jekyll and Mr. Hyde","Eloisa","Forster","eforsterw@wisdompets.com",2016-07-20
126,"The Awakening, and Selected Short Stories","Lelah","Seathwright","lseathwright2m@samoca.org",2016-07-20
112,"The War of the Worlds","Luciano","Winton","lwintony@hplussport.com",2016-07-21
97,"The Life and Adventures of Robinson Crusoe","Anastasie","Ferguson","aferguson1v@landonhotel.com",2016-07-23
10,"The Count of Monte Cristo","Tybie","Balme","tbalme1p@orangevalleycaa.org",2016-07-23
64,"A Study in Scarlet","Rubia","Fitzsymon","rfitzsymon1o@red30design.com",2016-07-23
152,"Anne of Green Gables","Lani","Over","loverg@wisdompets.com",2016-07-23
200,"A Doll's House","Anthe","Dinjes","adinjesh@samoca.org",2016-07-23
164,"The Hound of the Baskervilles","Perceval","Redpath","predpath1g@rouxacademy.org",2016-07-24
157,"Les Misérables","Zechariah","Deniske","zdeniske18@kinetecoinc.com",2016-07-26
108,"Pascal's Pensées","Eloisa","Forster","eforsterw@wisdompets.com",2016-07-27
181,"Sense and Sensibility","Jacquette","Spillard","jspillard29@red30design.com",2016-07-28
168,"Pascal's Pensées","Lelah","Seathwright","lseathwright2m@samoca.org",2016-07-28
